Variant,Recall@5,Recall@10,Recall@20,NDCG@5,NDCG@10,NDCG@20,HitRate@5,HitRate@10,HitRate@20,MRR@20,AUC,Evaluated_Users,Skipped
GCN-only,0.004967572933067982,0.009980022666029903,0.020685966642132476,0.2939745659668425,0.3010664952840046,0.31363024082725144,0.5278969957081545,0.575107296137339,0.592274678111588,0.3787528756412877,0.7926223175965664,233,0
SASRec-only,0.0009647109836566301,0.001997908768378914,0.005029988381575584,0.06861411290142345,0.06753170688573655,0.08125413503394102,0.24892703862660945,0.2703862660944206,0.3948497854077253,0.12004465742324337,0.5,233,0
Fusion,0.010938464743169141,0.020088055217794585,0.0372611185313519,0.48767779186583954,0.4733960598094138,0.453493462916006,0.8412017167381974,0.9055793991416309,0.9656652360515021,0.6552376347017187,0.9004549356223175,233,0
